,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase,except-min-criteria,novel-20,len_except_min_criteria,len_novel_20,len_data
121,matson3,honors0,IH-Project-2017-matson3_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,['Required Weather API'],0,0,1,0,0,0,1,1,"jquery,",0.0,100.0,5,50,37.04%,"1,0,0,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,29.63%,5,1.1111111111111112,77.78%,"3.0,1.0,1.0,;",11,159.80676328502415,25.93%,2,[],[],0,0,1
123,littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,0,,0.0792079207920792,92.07920792079209,8,80,70.37%,"1,1,1,1,0,1,1,1,0,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",14,198.83283110919788,62.96%,2,[],[],0,0,1
128,hihms,honors0,IH-Project-2017-hihms_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Required Weather API'],0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.0158450704225352,98.41549295774648,5,50,33.33%,"0,0,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,96.3%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652173913,92.59%,6,1.3333333333333337,81.48%,"3.0,2.0,1.0,;",17,201.9227393345581,66.67%,2,[],[],0,0,1
130,zhao744,honors0,IH-Project-2017-zhao744_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,['Required Weather API'],1,1,1,1,1,1,1,1,"d3,jquery,",0.0340136054421768,96.5986394557823,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",16,223.35226264418807,85.19%,2,[],[],0,0,1
132,ko68,honors0,IH-Project-2017-ko68_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"['Required Weather API', ' Zillow Home Value Searching API']",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.0056258790436005,99.43741209563994,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,6,1.3333333333333337,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",20,235.55335412462549,92.59%,2,[' Zillow Home Value Searching API'],[' Zillow Home Value Searching API'],1,1,2
135,Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Zillow Home Value Searching API'],1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.0100334448160535,98.99665551839465,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",15,215.75027870680043,88.89%,2,['Zillow Home Value Searching API'],[],1,0,1
140,anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Zillow Home Value Searching API'],0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.05,95.0,7,70,70.37%,"0,0,1,1,0,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",13,191.75362318840575,74.07%,2,['Zillow Home Value Searching API'],[],1,0,1
143,Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Zillow Home Value Searching API'],1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.00418410041841,99.581589958159,9,90,96.3%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",15,216.3352131465648,92.59%,2,['Zillow Home Value Searching API'],[],1,0,1
146,olimita,unal0,IH-Project-2017-olimita_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['New York City Museums'],1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.0204081632653061,97.95918367346938,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,92.59%,3,0.6666666666666667,81.48%,"1.0,1.0,1.0,;",16,223.40845903578824,96.3%,2,['New York City Museums'],[],1,0,1
151,nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,['Required Weather API'],1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.0197628458498023,98.02371541501977,7,70,77.78%,"1,1,1,1,0,0,0,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",13,194.77733860342556,85.19%,2,[],[],0,0,1
157,LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Fire Department Directory for New York State'],0,1,1,0,0,0,1,1,"bootstrap,font-awesome,jquery,",0.0155642023346303,98.44357976653696,5,50,66.67%,"0,0,1,1,0,0,0,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,96.3%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,96.3%,1,0.2222222222222222,77.78%,"1.0,0.0,0.0,;",11,192.1440628583244,77.78%,2,['Fire Department Directory for New York State'],[],1,0,1
166,cglaitong,unal1,IH-Project-2017-cglaitong_webapp_phase2,Tue Nov  7 00:39:19 2017,1,6,"['New York State Career Centers', ' Required Weather API', ' New York City Museums', ' New York City Art Galleries', ' Directory Of DCP Offices', ' New York City Locations Providing Seasonal Flu Vaccinations']",1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0036563071297989,99.6343692870201,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,92.59%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043478261,92.59%,18,4.0,92.59%,"3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;0.0,0.0,0.0,;1.0,1.0,2.0,;",32,237.1126301565853,92.59%,2,"['New York State Career Centers', ' Required Weather API', ' New York City Museums', ' New York City Art Galleries', ' Directory Of DCP Offices', ' New York City Locations Providing Seasonal Flu Vaccinations']","['New York State Career Centers', ' Required Weather API', ' New York City Museums', ' New York City Art Galleries', ' Directory Of DCP Offices', ' New York City Locations Providing Seasonal Flu Vaccinations']",6,6,6
168,BrandonAvilanR,unal1,IH-Project-2017-BrandonAvilanR_webapp_phase2,Tue Nov  7 00:39:19 2017,0,3,"['New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries']",1,1,1,1,0,0,1,1,"bootstrap,animate,font-awesome,jquery,",0.0033557046979865,99.66442953020132,7,70,74.07%,"0,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,3,0.6666666666666667,77.78%,"1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",13,196.41805271860716,74.07%,2,"['New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries']","[' Fire Department Directory for New York State', ' New York City Art Galleries']",3,2,3
169,alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase2,Tue Nov  7 00:39:19 2017,1,5,"['Required Weather API', ' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Bicycle Routes Across New York State: Map', ' New York City Art Galleries']",1,1,1,1,1,1,1,1,"bootstrap,d3,animate,jquery,",0.0301204819277108,96.98795180722892,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,92.59%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043478261,92.59%,24,5.333333333333334,96.3%,"3.0,2.0,1.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;",39,245.79954601012747,96.3%,2,"[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Bicycle Routes Across New York State: Map', ' New York City Art Galleries']","[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Bicycle Routes Across New York State: Map', ' New York City Art Galleries']",4,4,5
174,garayf,unal1,IH-Project-2017-garayf_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['New York City Museums'],1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.0119904076738609,98.8009592326139,6,60,59.26%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,4,0.8888888888888888,85.19%,"1.0,1.0,2.0,;",13,185.77680464324192,66.67%,2,['New York City Museums'],[],1,0,1
179,xFortich,unal1,IH-Project-2017-xFortich_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,['Zillow Home Value Searching API'],1,1,1,0,1,1,1,1,"bootstrap,animate,jquery,",0.002092050209205,99.7907949790795,8,80,85.19%,"0,1,1,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,3,0.6666666666666667,77.78%,"3.0,0.0,0.0,;",14,206.54441816748528,85.19%,2,['Zillow Home Value Searching API'],[],1,0,1
184,davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase2,Tue Nov  7 00:39:19 2017,0,2,"['Housing New York Units by Building', ' Air Quality']",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0020120724346076,99.79879275653924,7,70,77.78%,"0,0,1,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,5,1.1111111111111112,88.89%,"1.0,1.0,1.0,;2.0,0.0,0.0,;",15,196.99686038938947,77.78%,2,"['Housing New York Units by Building', ' Air Quality']",[' Air Quality'],2,1,2
192,trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase2,Tue Nov  7 00:39:19 2017,0,4,"['New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries', ' School Safety Report']",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.0,100.0,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,12,2.666666666666667,96.3%,"1.0,1.0,1.0,;1.0,1.0,1.0,;1.0,1.0,1.0,;1.0,1.0,1.0,;",24,218.75362318840575,88.89%,2,"['New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries', ' School Safety Report']","[' Fire Department Directory for New York State', ' New York City Art Galleries', ' School Safety Report']",4,3,4
201,jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase2,Tue Nov  7 00:39:20 2017,0,1,['Total Housing Units By Occupancy Status And Tenure By Borough'],1,0,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0130718954248366,98.69281045751634,7,70,59.26%,"0,1,0,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,2,0.4444444444444444,77.78%,"2.0,0.0,0.0,;",12,195.22421142369996,55.56%,2,['Total Housing Units By Occupancy Status And Tenure By Borough'],['Total Housing Units By Occupancy Status And Tenure By Borough'],1,1,1
202,Anvido,unal2,IH-Project-2017-Anvido_webapp_phase2,Tue Nov  7 00:39:20 2017,1,4,"['Required Weather API', ' New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries']",1,1,1,1,1,1,1,1,"materialize,jquery,",0.0097560975609756,99.02439024390245,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,6,1.3333333333333337,88.89%,"3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",19,226.4446800989749,96.3%,2,"[' New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries']","[' New York City Museums', ' Fire Department Directory for New York State', ' New York City Art Galleries']",3,3,4
204,federgolo,unal2,IH-Project-2017-federgolo_webapp_phase2,Tue Nov  7 00:39:20 2017,0,1,['New York City Museums'],0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0091324200913242,99.08675799086758,7,70,62.96%,"0,0,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,88.89%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,88.89%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",12,204.091588908742,62.96%,2,['New York City Museums'],[],1,0,1
208,adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase2,Tue Nov  7 00:39:20 2017,1,1,['Required Weather API'],1,1,1,1,0,0,1,1,"bootstrap,d3,jquery,",0.0488505747126436,95.11494252873564,8,80,66.67%,"1,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",14,201.86856571714145,59.26%,2,[],[],0,0,1
210,pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase2,Tue Nov  7 00:39:20 2017,0,2,"['New York State Career Centers', ' Fire Department Directory for New York State']",1,1,1,1,1,1,1,1,"bootstrap,font-awesome,jquery,",0.0074441687344913,99.25558312655087,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,10,2.2222222222222223,92.59%,"3.0,1.0,2.0,;1.0,1.0,2.0,;",22,217.56476187051223,85.19%,2,"['New York State Career Centers', ' Fire Department Directory for New York State']","['New York State Career Centers', ' Fire Department Directory for New York State']",2,2,2
213,jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase2,Tue Nov  7 00:39:20 2017,0,1,['Zillow Home Value Searching API'],1,1,1,0,1,1,1,1,"bootstrap,jquery,",0.0,100.0,8,80,74.07%,"0,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,44.44%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,44.44%,4,0.8888888888888888,85.19%,"3.0,1.0,0.0,;",15,206.975845410628,70.37%,2,['Zillow Home Value Searching API'],[],1,0,1
216,mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"['Required Weather API', ' Zillow Home Value Searching API']",1,1,1,0,1,1,1,1,"jquery,bootstrap,angular,",0.0375,96.25,9,90,70.37%,"1,1,1,1,0,1,1,1,1,",4,80,96.3%,"1.0,1.0,1.0,1.0,0.0,",5,27.77777777777778,96.3%,"1.0,1.0,1.0,1.0,0.0,1.0,",9,39.130434782608695,96.3%,7,1.5555555555555556,81.48%,"3.0,1.0,0.0,;3.0,0.0,0.0,;",25,266.0664251207729,96.3%,3,[' Zillow Home Value Searching API'],[' Zillow Home Value Searching API'],1,1,2
217,Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"['Required Weather API', ' Zillow Home Value Searching API']",1,1,1,0,1,1,1,1,"jquery,d3,",0.0125448028673835,98.74551971326166,9,90,81.48%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,81.48%,8,1.7777777777777777,88.89%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",22,234.00155836060463,88.89%,3,[' Zillow Home Value Searching API'],[' Zillow Home Value Searching API'],1,1,2
218,LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,0,1,1,0,0,1,1,"jquery,d3,bootstrap,animate,",0.0407407407407407,95.92592592592592,7,70,37.04%,"1,1,0,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,192.6795491143317,37.04%,3,[],[],0,0,1
221,jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase3,Wed Nov 15 19:18:47 2017,1,7,"['Required Weather API', ' New York State Career Centers', ' New York City Farmers Markets', ' School Safety Report', ' Zillow Home Value Searching API', ' New York City Museums', ' Air Quality']",1,1,1,1,1,1,1,1,"jquery,materialize,d3,",0.0022573363431151,99.77426636568848,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,15,3.333333333333333,96.3%,"2.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;",30,246.5858605685871,92.59%,3,"[' New York State Career Centers', ' New York City Farmers Markets', ' School Safety Report', ' Zillow Home Value Searching API', ' New York City Museums', ' Air Quality']","[' New York State Career Centers', ' New York City Farmers Markets', ' School Safety Report', ' Zillow Home Value Searching API', ' New York City Museums', ' Air Quality']",6,6,7
